ob_code,disturbance_type,disturbance_comment,disturbance_intensity,disturbance_age,disturbance_extent
SRI-0001,Competition from exotics,NA,Low,NA,NA
SRI-0002,Competition from exotics,NA,Low,NA,NA
SRI-0002,Other,ungulate trailing,Moderate,NA,NA
SRI-0003,Competition from exotics,NA,Low,NA,NA
SRI-0003,Other,ungulate trailing,High,NA,NA
SRI-0004,Competition from exotics,NA,Low,NA,NA
SRI-0004,Other,ungulate trailing,Moderate,NA,NA
SRI-0005,Competition from exotics,NA,Low,NA,NA
SRI-0006,Competition from exotics,NA,Low,NA,NA
SRI0007V,Competition from exotics,NA,Low,NA,NA
SRI-0008,Competition from exotics,NA,Low,NA,NA
SRI-0008,Erosion/runoff,NA,Moderate,NA,NA
SRI-0009,Competition from exotics,NA,Low,NA,NA
SRI-0010,Competition from exotics,NA,Moderate,NA,NA
SRI0011A,Competition from exotics,NA,Low,NA,NA
SRI0012A,Competition from exotics,NA,Moderate,NA,NA
SRI0013A,Competition from exotics,NA,Low,NA,NA
SRI0013A,Erosion/runoff,NA,Low,NA,NA
SRI-0014,Competition from exotics,NA,High,NA,NA
SRI-0015,Competition from exotics,NA,Moderate,NA,NA
SRI0016A,Other,ungulate trailing,Low,NA,NA
SRI0016A,Competition from exotics,NA,Low,NA,NA
SRI0017A,Competition from exotics,NA,Low,NA,NA
SRI0018A,Competition from exotics,NA,Moderate,NA,NA
SRI-0019,Competition from exotics,NA,Low,NA,NA
SRI-0019,Other,ungulate trailing,Low,NA,NA
SRI-0020,Competition from exotics,NA,Moderate,NA,NA
SRI-0020,Other,horse use,Low,NA,NA
SRI-0021,Competition from exotics,NA,Low,NA,NA
SRI-0022,Competition from exotics,NA,High,NA,NA
SRI-0023,Competition from exotics,NA,Low,NA,NA
SRI-0024,Competition from exotics,NA,Moderate,NA,NA
SRI-0025,Competition from exotics,NA,Low,NA,NA
SRI-0026,Competition from exotics,NA,High,NA,NA
SRI-0027,Competition from exotics,NA,Low,NA,NA
SRI-0028,Competition from exotics,NA,Moderate,NA,NA
SRI-0029,Competition from exotics,NA,Low,NA,NA
SRI-0030,Competition from exotics,NA,Moderate,NA,NA
SRI0032A,Erosion/runoff,NA,High,NA,NA
SRI-0034,Competition from exotics,NA,Low,NA,NA
SRI-0036,Competition from exotics,NA,Low,NA,NA
SRI-0036,Erosion/runoff,NA,High,NA,NA
SRI-0037,Competition from exotics,NA,Low,NA,NA
