ob_code,disturbance_type,disturbance_comment,disturbance_intensity,disturbance_age,disturbance_extent
DOLO0476,Competition from exotics,NA,Low,NA,NA
DOLO0477,Grazing,NA,Low,NA,NA
DOLO0478,Competition from exotics,NA,Low,NA,NA
DOLO0480,Competition from exotics,NA,Low,NA,NA
DOLO0496,Competition from exotics,NA,Low,NA,NA
DOLO0499,Logging,NA,Moderate,NA,NA
FISH0001,Grazing,NA,Moderate,NA,NA
FISH0002,Grazing,NA,Low,NA,NA
FISH0003,Grazing,NA,Moderate,NA,NA
FISH0004,Grazing,NA,Low,NA,NA
FISH0005,Grazing,NA,Low,NA,NA
FISH0006,Grazing,NA,Low,NA,NA
FISH0007,Grazing,NA,Low,NA,NA
FISH0008,Competition from exotics,NA,Moderate,NA,NA
FISH0009,Grazing,NA,Low,NA,NA
FISH0009,Competition from exotics,NA,Low,NA,NA
FISH0010,Grazing,NA,Moderate,NA,NA
FISH0011,Competition from exotics,NA,Moderate,NA,NA
FISH0012,Competition from exotics,NA,Low,NA,NA
FISH0013,Grazing,NA,Low,NA,NA
FISH0041,Competition from exotics,NA,Low,NA,NA
FISH0042,Competition from exotics,NA,NA,NA,NA
FISH0043,Competition from exotics,NA,NA,NA,NA
FISH0048,Road/trail construction/maint.,NA,Low,NA,NA
FISH0048,Grazing,NA,Low,NA,NA
FISH0050,Vandalism/dumping/litter,NA,Low,NA,NA
FISH0050,Grazing,NA,High,NA,NA
FISH0053,Competition from exotics,NA,Low,NA,NA
FISH0056,Grazing,NA,Low,NA,NA
FISH0057,Road/trail construction/maint.,NA,Low,NA,NA
FISH0058,Competition from exotics,NA,Low,NA,NA
FISH0059,Road/trail construction/maint.,NA,Low,NA,NA
FISH0063,Grazing,NA,Low,NA,NA
FISH0063,Vandalism/dumping/litter,NA,Low,NA,NA
FISH0064,Vandalism/dumping/litter,NA,Low,NA,NA
FISH0069,Grazing,NA,High,NA,NA
FISH0070,Grazing,NA,Moderate,NA,NA
FISH0071,Grazing,NA,Moderate,NA,NA
FISH0072,Competition from exotics,NA,Low,NA,NA
FISH0073,Competition from exotics,NA,Moderate,NA,NA
JAWB0001,Competition from exotics,NA,Low,NA,NA
JAWB0002,ORV activity,NA,Low,NA,NA
JAWB0003,Competition from exotics,NA,Low,NA,NA
JAWB0004,Competition from exotics,NA,Moderate,NA,NA
JAWB0005,Competition from exotics,NA,Low,NA,NA
JAWB0006,Competition from exotics,NA,Low,NA,NA
JAWB0007,Competition from exotics,NA,Low,NA,NA
JAWB0008,Competition from exotics,NA,Low,NA,NA
JAWB0009,Competition from exotics,NA,Low,NA,NA
JAWB0010,Competition from exotics,NA,Low,NA,NA
JAWB0011,Competition from exotics,NA,Low,NA,NA
JAWB0012,Competition from exotics,NA,Low,NA,NA
JAWB0013,Development,NA,Low,NA,NA
JAWB0014,Competition from exotics,NA,Low,NA,NA
JAWB0016,Competition from exotics,NA,Low,NA,NA
JAWB0017,Competition from exotics,NA,Low,NA,NA
JAWB0018,Competition from exotics,NA,Low,NA,NA
JAWB0019,Road/trail construction/maint.,NA,Moderate,NA,NA
JAWB0019,Competition from exotics,NA,Moderate,NA,NA
JAWB0020,Competition from exotics,NA,Low,NA,NA
JAWB0021,Grazing,NA,Low,NA,NA
JAWB0021,Competition from exotics,NA,Low,NA,NA
JAWB0022,Competition from exotics,NA,Low,NA,NA
JAWB0023,Competition from exotics,NA,High,NA,NA
JAWB0023,Grazing,NA,Moderate,NA,NA
JAWB0024,Competition from exotics,NA,Low,NA,NA
JAWB0025,Competition from exotics,NA,Low,NA,NA
JAWB0025,Grazing,NA,Low,NA,NA
JAWB0026,Competition from exotics,NA,Low,NA,NA
JAWB0027,Grazing,NA,Low,NA,NA
JAWB0027,Road/trail construction/maint.,NA,Moderate,NA,NA
JAWB0027,Competition from exotics,NA,Low,NA,NA
JAWB0028,Competition from exotics,NA,Low,NA,NA
JAWB0029,Grazing,NA,Moderate,NA,NA
JAWB0029,Competition from exotics,NA,High,NA,NA
JAWB0030,Grazing,NA,Low,NA,NA
JAWB0030,Competition from exotics,NA,Moderate,NA,NA
JAWB0031,Grazing,NA,Low,NA,NA
JAWB0031,Competition from exotics,NA,Low,NA,NA
JAWB0033,Competition from exotics,NA,Low,NA,NA
JAWB0034,Competition from exotics,NA,Moderate,NA,NA
JAWB0035,Grazing,NA,Low,NA,NA
JAWB0036,Competition from exotics,NA,Low,NA,NA
JAWB0037,Competition from exotics,NA,Low,NA,NA
JAWB0037,Grazing,NA,Low,NA,NA
JAWB0038,Grazing,NA,Low,NA,NA
JAWB0039,Grazing,NA,Low,NA,NA
JAWB0039,Competition from exotics,NA,High,NA,NA
JAWB0040,Grazing,NA,Low,NA,NA
JAWB0040,Competition from exotics,NA,Low,NA,NA
JAWB0041,Competition from exotics,NA,High,NA,NA
JAWB0041,Grazing,NA,Low,NA,NA
JAWB0042,Grazing,NA,Moderate,NA,NA
JAWB0042,Competition from exotics,NA,High,NA,NA
JAWB0043,Grazing,NA,Moderate,NA,NA
JAWB0043,Competition from exotics,NA,Low,NA,NA
JAWB0044,Grazing,NA,Moderate,NA,NA
JAWB0044,Competition from exotics,NA,Moderate,NA,NA
JAWB0100,Grazing,NA,Low,NA,NA
JAWB0100,Competition from exotics,NA,Moderate,NA,NA
JAWB0101,Grazing,NA,Low,NA,NA
JAWB0101,Competition from exotics,NA,Low,NA,NA
JAWB0102,Competition from exotics,NA,Moderate,NA,NA
JAWB0102,Surface water diversion,NA,Low,NA,NA
JAWB0102,Grazing,NA,Low,NA,NA
JAWB0102,Development,NA,Low,NA,NA
JAWB0103,Competition from exotics,NA,Low,NA,NA
JAWB0103,Vandalism/dumping/litter,NA,Low,NA,NA
JAWB0103,Grazing,NA,Low,NA,NA
JAWB0103,Road/trail construction/maint.,NA,Low,NA,NA
JAWB0104,Vandalism/dumping/litter,NA,Low,NA,NA
JAWB0104,Road/trail construction/maint.,NA,Low,NA,NA
JAWB0104,Competition from exotics,NA,Moderate,NA,NA
JAWB0104,Grazing,NA,Moderate,NA,NA
JAWB0105,Competition from exotics,NA,High,NA,NA
JAWB0105,Grazing,NA,Low,NA,NA
JAWB0105,Road/trail construction/maint.,NA,Moderate,NA,NA
JAWB0106,Grazing,NA,Low,NA,NA
JAWB0106,Competition from exotics,NA,Low,NA,NA
JAWB0107,Competition from exotics,NA,Low,NA,NA
JAWB0107,Grazing,NA,Low,NA,NA
JAWB0107,Vandalism/dumping/litter,NA,Low,NA,NA
JAWB0108,Grazing,NA,Low,NA,NA
JAWB0108,Competition from exotics,NA,High,NA,NA
JAWB0109,Competition from exotics,NA,Moderate,NA,NA
JAWB0109,Grazing,NA,Low,NA,NA
JAWB0110,Grazing,NA,Low,NA,NA
JAWB0110,Competition from exotics,NA,Low,NA,NA
JAWB0111,Competition from exotics,NA,Low,NA,NA
JAWB0111,Road/trail construction/maint.,NA,Low,NA,NA
JAWB0112,Vandalism/dumping/litter,NA,Low,NA,NA
JAWB0112,Competition from exotics,NA,Moderate,NA,NA
JAWB0112,Road/trail construction/maint.,NA,Low,NA,NA
JAWB0112,ORV activity,NA,Moderate,NA,NA
JAWB0112,Development,NA,Low,NA,NA
JAWB0113,Competition from exotics,NA,Low,NA,NA
JAWB0114,Competition from exotics,NA,Low,NA,NA
JAWB0115,Competition from exotics,NA,Low,NA,NA
JAWB0116,Competition from exotics,NA,Moderate,NA,NA
JAWB0116,ORV activity,NA,Low,NA,NA
JAWB0117,Road/trail construction/maint.,NA,Low,NA,NA
JAWB0117,Competition from exotics,NA,Low,NA,NA
JAWB0118,Competition from exotics,NA,Moderate,NA,NA
JAWB0118,Vandalism/dumping/litter,NA,High,NA,NA
JAWB0119,Road/trail construction/maint.,NA,Low,NA,NA
JAWB0119,Other,berms in channel,Low,NA,NA
JAWB0119,Vandalism/dumping/litter,NA,Low,NA,NA
JAWB0119,ORV activity,NA,Low,NA,NA
JAWB0119,Development,NA,Low,NA,NA
JAWB0120,Competition from exotics,NA,Low,NA,NA
JAWB0200,Road/trail construction/maint.,NA,Low,NA,NA
JAWB0200,Competition from exotics,NA,Low,NA,NA
JAWB0201,Competition from exotics,NA,Moderate,NA,NA
JAWB0201,Recreational use (non ORV),NA,Low,NA,NA
JAWB0202,Competition from exotics,NA,Moderate,NA,NA
JAWB0202,Recreational use (non ORV),NA,Low,NA,NA
JAWB0203,Competition from exotics,NA,Low,NA,NA
JAWB0204,Competition from exotics,NA,Low,NA,NA
JAWB0205,Improper burning regime,NA,Low,NA,NA
JAWB0205,Road/trail construction/maint.,NA,Low,NA,NA
JAWB0205,Competition from exotics,NA,Low,NA,NA
JAWB0206,Competition from exotics,NA,Low,NA,NA
JAWB0207,Competition from exotics,NA,Moderate,NA,NA
JAWB0208,Competition from exotics,NA,Low,NA,NA
JAWB0209,Road/trail construction/maint.,NA,Moderate,NA,NA
JAWB0209,Competition from exotics,NA,Moderate,NA,NA
JAWB0210,Competition from exotics,NA,Moderate,NA,NA
JAWB0211,Competition from exotics,NA,Moderate,NA,NA
JAWB0211,Vandalism/dumping/litter,NA,Low,NA,NA
JAWB0211,Road/trail construction/maint.,NA,Moderate,NA,NA
JAWB0212,Competition from exotics,NA,High,NA,NA
JAWB0213,Competition from exotics,NA,High,NA,NA
JAWB0214,Road/trail construction/maint.,NA,Low,NA,NA
JAWB0215,Competition from exotics,NA,Moderate,NA,NA
JAWB0216,Competition from exotics,NA,Low,NA,NA
JAWB0217,Competition from exotics,NA,High,NA,NA
JAWB0218,Grazing,NA,Low,NA,NA
JAWB0218,Road/trail construction/maint.,NA,Low,NA,NA
JAWB0218,Competition from exotics,NA,High,NA,NA
KNOX0001,Competition from exotics,NA,Low,NA,NA
KNOX0002,Competition from exotics,NA,Low,NA,NA
KNOX0121,Competition from exotics,NA,Low,NA,NA
KNOX0122,Competition from exotics,NA,Moderate,NA,NA
KNOX0123,Competition from exotics,NA,Low,NA,NA
KNOX0124,Competition from exotics,NA,Low,NA,NA
KNOX0125,Competition from exotics,NA,Low,NA,NA
KNOX0126,Competition from exotics,NA,Low,NA,NA
KNOX0127,Competition from exotics,NA,Moderate,NA,NA
KNOX0128,Competition from exotics,NA,Low,NA,NA
KNOX0129,Competition from exotics,NA,Low,NA,NA
KNOX0130,Competition from exotics,NA,Low,NA,NA
KNOX0131,Competition from exotics,NA,Low,NA,NA
KNOX0132,Competition from exotics,NA,Low,NA,NA
KNOX0141,Competition from exotics,NA,Low,NA,NA
KNOX0161,Road/trail construction/maint.,NA,Moderate,NA,NA
KNOX0163,Competition from exotics,NA,High,NA,NA
KNOX0164,Competition from exotics,NA,High,NA,NA
KNOX0165,Competition from exotics,NA,High,NA,NA
KNOX0166,Competition from exotics,NA,Moderate,NA,NA
KNOX0301,Competition from exotics,NA,Low,NA,NA
KNOX0302,Competition from exotics,NA,Low,NA,NA
KNOX1080,Competition from exotics,NA,Low,NA,NA
KNOX1081,Competition from exotics,NA,High,NA,NA
KNOX1083,Competition from exotics,NA,Low,NA,NA
KNOX1084,Competition from exotics,NA,Low,NA,NA
KNOX1087,Competition from exotics,NA,Low,NA,NA
KNOX1089,Competition from exotics,NA,Low,NA,NA
KNOX1090,Competition from exotics,NA,Moderate,NA,NA
KNOX1100,Competition from exotics,NA,Moderate,NA,NA
KNOX1101,Competition from exotics,NA,Moderate,NA,NA
KNOX1102,Competition from exotics,NA,Moderate,NA,NA
KNOX1103,Competition from exotics,NA,Low,NA,NA
KNOX1104,Competition from exotics,NA,Low,NA,NA
KNOX1105,Competition from exotics,NA,Moderate,NA,NA
KNOX1106,Competition from exotics,NA,Moderate,NA,NA
KNOX1107,Competition from exotics,NA,Moderate,NA,NA
KNOX1108,Competition from exotics,NA,Low,NA,NA
KNOX1109,Competition from exotics,NA,Low,NA,NA
KNOX1111,Competition from exotics,NA,Low,NA,NA
KNOX1114,Competition from exotics,NA,Low,NA,NA
MARIN001,Competition from exotics,NA,Low,NA,NA
MARIN002,Competition from exotics,NA,Low,NA,NA
MARIN002,Foot traffic/trampling,NA,Low,NA,NA
MARIN003,Foot traffic/trampling,NA,Low,NA,NA
MARIN005,Road/trail construction/maint.,NA,Low,NA,NA
MARIN005,Other,broom control,Low,NA,NA
MARIN006,Altered flood/tidal regime,NA,Low,NA,NA
MARIN006,Foot traffic/trampling,NA,Low,NA,NA
MARIN009,Recreational use (non ORV),NA,Low,NA,NA
MARIN009,Other,exotic species management restoration,Low,NA,NA
MARIN009,Road/trail construction/maint.,NA,Low,NA,NA
MARIN011,Road/trail construction/maint.,NA,Low,NA,NA
MARIN011,"Rip-rap, bank protection",NA,Moderate,NA,NA
MARIN011,Development,NA,Moderate,NA,NA
MARIN013,Foot traffic/trampling,NA,Low,NA,NA
MARIN014,Competition from exotics,NA,Low,NA,NA
MARIN015,Other,runoff from golf course,Low,NA,NA
MARIN017,Channelization (human caused),NA,Moderate,NA,NA
MARIN019,Channelization (human caused),NA,Moderate,NA,NA
MARIN020,Competition from exotics,NA,Moderate,NA,NA
MARIN026,Competition from exotics,NA,Moderate,NA,NA
MARIN026,Development,NA,Low,NA,NA
MARIN029,Competition from exotics,NA,Moderate,NA,NA
MARIN041,Competition from exotics,NA,Moderate,NA,NA
MARIN044,Competition from exotics,NA,Low,NA,NA
MARIN049,Foot traffic/trampling,NA,Moderate,NA,NA
MARIN050,Foot traffic/trampling,NA,Low,NA,NA
MARIN052,Road/trail construction/maint.,NA,Moderate,NA,NA
MARIN055,Competition from exotics,NA,Low,NA,NA
MARIN056,Competition from exotics,NA,Low,NA,NA
MARIN057,Competition from exotics,NA,Low,NA,NA
MARIN058,Competition from exotics,NA,Low,NA,NA
MARIN060,Competition from exotics,NA,Low,NA,NA
MARIN064,Other,fire break,Moderate,NA,NA
MARIN064,Competition from exotics,NA,Low,NA,NA
MARIN065,Grazing,NA,Low,NA,NA
MARIN066,Other,gopher holes,Low,NA,NA
MARIN072,Grazing,NA,Low,NA,NA
MARIN073,Competition from exotics,NA,Moderate,NA,NA
MARIN074,Grazing,NA,Moderate,NA,NA
MARIN075,Competition from exotics,NA,Low,NA,NA
MARIN080,Road/trail construction/maint.,NA,Moderate,NA,NA
MARIN081,Competition from exotics,NA,Low,NA,NA
MARIN085,Competition from exotics,NA,Moderate,NA,NA
MARIN086,Foot traffic/trampling,NA,Low,NA,NA
MARIN087,Other,herbivory,Low,NA,NA
MARIN088,Foot traffic/trampling,NA,Low,NA,NA
MARIN090,Road/trail construction/maint.,NA,Moderate,NA,NA
MARIN100,Grazing,NA,Low,NA,NA
MARIN100,Foot traffic/trampling,NA,Low,NA,NA
MARIN102,Competition from exotics,NA,Low,NA,NA
MARIN104,Other,Herbivory,Moderate,NA,NA
MARIN105,Other,deer browsing,Low,NA,NA
MARIN105,Competition from exotics,NA,Low,NA,NA
MARIN106,Competition from exotics,NA,High,NA,NA
MARIN107,Other,DEER PATH,Low,NA,NA
MARIN108,Competition from exotics,NA,High,NA,NA
MARIN109,Competition from exotics,NA,Low,NA,NA
MARIN110,Competition from exotics,NA,Low,NA,NA
MARIN111,Competition from exotics,NA,High,NA,NA
MARIN112,Competition from exotics,NA,Low,NA,NA
MARIN115,Competition from exotics,NA,Moderate,NA,NA
MARIN116,Road/trail construction/maint.,NA,Low,NA,NA
MARIN120,Road/trail construction/maint.,NA,Low,NA,NA
MARIN121,Road/trail construction/maint.,NA,Low,NA,NA
MARIN122,Road/trail construction/maint.,NA,Moderate,NA,NA
MARIN124,Dam/inundation,NA,High,NA,NA
MARIN125,Grazing,NA,Moderate,NA,NA
MARIN126,Competition from exotics,NA,Low,NA,NA
MARIN127,Competition from exotics,NA,Low,NA,NA
MARIN131,Road/trail construction/maint.,NA,Low,NA,NA
MARIN132,Road/trail construction/maint.,NA,Low,NA,NA
MARIN133,Competition from exotics,NA,Low,NA,NA
MARIN139,Competition from exotics,NA,Low,NA,NA
MARIN146,Grazing,NA,High,NA,NA
MARIN150,Road/trail construction/maint.,NA,Low,NA,NA
MARIN151,Competition from exotics,NA,Low,NA,NA
MARIN153,Competition from exotics,NA,Low,NA,NA
MARIN155,Road/trail construction/maint.,NA,Low,NA,NA
MARIN157,Competition from exotics,NA,Low,NA,NA
MARIN158,Road/trail construction/maint.,NA,Low,NA,NA
MARIN158,Competition from exotics,NA,Moderate,NA,NA
MARIN159,Other,game trails,Low,NA,NA
MARIN159,Competition from exotics,NA,Moderate,NA,NA
MARIN160,Competition from exotics,NA,Low,NA,NA
MARIN161,Foot traffic/trampling,NA,Low,NA,NA
MARIN162,Road/trail construction/maint.,NA,Low,NA,NA
MARIN162,Competition from exotics,NA,Low,NA,NA
MARIN163,Competition from exotics,NA,High,NA,NA
MARIN165,Competition from exotics,NA,Low,NA,NA
MARIN166,Road/trail construction/maint.,NA,Low,NA,NA
MARIN210,Grazing,NA,Low,NA,NA
MARIN211,Grazing,NA,High,NA,NA
MARIN211,Competition from exotics,NA,Moderate,NA,NA
MARIN212,Grazing,NA,Low,NA,NA
MARIN213,Competition from exotics,NA,High,NA,NA
MARIN215,Grazing,NA,Low,NA,NA
MARIN216,Grazing,NA,Moderate,NA,NA
MARIN216,Competition from exotics,NA,Low,NA,NA
MARIN217,Competition from exotics,NA,Low,NA,NA
MARIN218,Competition from exotics,NA,Low,NA,NA
MARIN219,Competition from exotics,NA,Low,NA,NA
MARIN220,Competition from exotics,NA,Low,NA,NA
MARIN221,Competition from exotics,NA,High,NA,NA
MARIN222,Competition from exotics,NA,Low,NA,NA
MARIN223,Competition from exotics,NA,Low,NA,NA
MARIN224,Competition from exotics,NA,Low,NA,NA
MARIN224,Grazing,NA,Low,NA,NA
MARIN225,Competition from exotics,NA,Moderate,NA,NA
MARIN226,Competition from exotics,NA,Low,NA,NA
MARIN227,Competition from exotics,NA,Low,NA,NA
MARIN228,Competition from exotics,NA,Low,NA,NA
MARIN229,Grazing,NA,Low,NA,NA
MARIN230,Grazing,NA,Low,NA,NA
MARIN230,Competition from exotics,NA,Moderate,NA,NA
MARIN232,Competition from exotics,NA,Moderate,NA,NA
MARIN232,Grazing,NA,Moderate,NA,NA
MARIN233,Grazing,NA,Moderate,NA,NA
MARIN234,Grazing,NA,Moderate,NA,NA
MARIN235,Grazing,NA,Low,NA,NA
MARIN236,Grazing,NA,Low,NA,NA
MARIN237,Grazing,NA,Low,NA,NA
MARIN237,Competition from exotics,NA,Moderate,NA,NA
MARIN238,Grazing,NA,Low,NA,NA
MARIN238,Competition from exotics,NA,Low,NA,NA
MARIN239,Competition from exotics,NA,Moderate,NA,NA
MARIN240,Competition from exotics,NA,Moderate,NA,NA
MARIN241,Competition from exotics,NA,Low,NA,NA
MARIN244,Competition from exotics,NA,Moderate,NA,NA
MARIN245,Competition from exotics,NA,Low,NA,NA
MARIN251,Grazing,NA,Low,NA,NA
MARIN252,Competition from exotics,NA,Low,NA,NA
MARIN254,Competition from exotics,NA,Moderate,NA,NA
MARIN255,Competition from exotics,NA,Moderate,NA,NA
MARIN255,Grazing,NA,Moderate,NA,NA
MARIN256,Grazing,NA,Low,NA,NA
MARIN256,Competition from exotics,NA,Low,NA,NA
MARIN257,Competition from exotics,NA,Low,NA,NA
MARIN258,Grazing,NA,Moderate,NA,NA
MARIN258,Competition from exotics,NA,Moderate,NA,NA
MARIN260,Grazing,NA,Moderate,NA,NA
MARIN260,Competition from exotics,NA,Moderate,NA,NA
MARIN264,Competition from exotics,NA,High,NA,NA
MARIN265,Competition from exotics,NA,Low,NA,NA
MARIN265,Grazing,NA,High,NA,NA
MARIN267,Competition from exotics,NA,High,NA,NA
MARIN268,Competition from exotics,NA,Low,NA,NA
MARIN269,Competition from exotics,NA,Low,NA,NA
MARIN273,Competition from exotics,NA,Low,NA,NA
MARIN274,Grazing,NA,Low,NA,NA
MARIN275,Competition from exotics,NA,Low,NA,NA
MARIN276,Competition from exotics,NA,High,NA,NA
MARIN279,Competition from exotics,NA,Low,NA,NA
MARIN280,Competition from exotics,NA,High,NA,NA
MARIN281,Competition from exotics,NA,High,NA,NA
MARIN282,Competition from exotics,NA,High,NA,NA
MARIN282,Grazing,NA,Low,NA,NA
MARIN283,Competition from exotics,NA,Low,NA,NA
MARIN284,Competition from exotics,NA,Moderate,NA,NA
MARIN285,Competition from exotics,NA,High,NA,NA
MARIN286,Grazing,NA,Low,NA,NA
MARIN286,Competition from exotics,NA,Low,NA,NA
MARIN287,Grazing,NA,Low,NA,NA
MARIN287,Competition from exotics,NA,Low,NA,NA
MARIN288,Competition from exotics,NA,Moderate,NA,NA
MARIN289,Competition from exotics,NA,Low,NA,NA
MARIN290,Competition from exotics,NA,Low,NA,NA
MARIN291,Competition from exotics,NA,High,NA,NA
MARIN292,Competition from exotics,NA,Low,NA,NA
MARIN293,Road/trail construction/maint.,NA,Low,NA,NA
MARIN293,Competition from exotics,NA,High,NA,NA
MARIN294,Competition from exotics,NA,High,NA,NA
MARIN295,Competition from exotics,NA,High,NA,NA
MARIN297,Competition from exotics,NA,Low,NA,NA
MARIN298,Road/trail construction/maint.,NA,Low,NA,NA
MARIN298,Competition from exotics,NA,Low,NA,NA
MARIN298,Grazing,NA,Low,NA,NA
MARIN299,Grazing,NA,Moderate,NA,NA
MARIN301,Competition from exotics,NA,Low,NA,NA
MARIN302,Competition from exotics,NA,Low,NA,NA
MARIN303,Competition from exotics,NA,Moderate,NA,NA
MARIN307,Grazing,NA,Low,NA,NA
MARIN307,Competition from exotics,NA,Moderate,NA,NA
MARIN308,Competition from exotics,NA,Low,NA,NA
MARIN309,Competition from exotics,NA,Moderate,NA,NA
MARIN310,Competition from exotics,NA,Low,NA,NA
MARIN311,Competition from exotics,NA,Low,NA,NA
MARIN312,Competition from exotics,NA,Moderate,NA,NA
MARIN313,Competition from exotics,NA,Moderate,NA,NA
MARIN315,Competition from exotics,NA,Moderate,NA,NA
MARIN316,Competition from exotics,NA,High,NA,NA
MARIN317,Competition from exotics,NA,Low,NA,NA
MARIN318,Competition from exotics,NA,High,NA,NA
MARIN319,Competition from exotics,NA,Low,NA,NA
MARIN320,Competition from exotics,NA,Low,NA,NA
MARIN321,Competition from exotics,NA,Low,NA,NA
MARIN322,Competition from exotics,NA,Low,NA,NA
MARIN323,Competition from exotics,NA,Low,NA,NA
MARIN400,Competition from exotics,NA,High,NA,NA
MARIN402,Competition from exotics,NA,Low,NA,NA
MARIN403,Competition from exotics,NA,Low,NA,NA
MARIN404,Competition from exotics,NA,High,NA,NA
MARIN405,Competition from exotics,NA,High,NA,NA
MARIN406,Competition from exotics,NA,Low,NA,NA
MARIN407,Competition from exotics,NA,High,NA,NA
MARIN408,Competition from exotics,NA,High,NA,NA
MARIN409,Competition from exotics,NA,Moderate,NA,NA
MARIN410,Competition from exotics,NA,Low,NA,NA
MARIN411,Competition from exotics,NA,Moderate,NA,NA
MARIN412,Competition from exotics,NA,Low,NA,NA
MARIN413,Competition from exotics,NA,Moderate,NA,NA
MARIN414,Competition from exotics,NA,Moderate,NA,NA
MARIN415,Competition from exotics,NA,Low,NA,NA
MARIN416,Competition from exotics,NA,High,NA,NA
MARIN417,Competition from exotics,NA,Low,NA,NA
MOJD0001,Competition from exotics,NA,Low,NA,NA
MOJD0002,Competition from exotics,NA,Low,NA,NA
MOJD0002,Vandalism/dumping/litter,NA,Low,NA,NA
MOJD0003,Road/trail construction/maint.,NA,Low,NA,NA
MOJD0004,Foot traffic/trampling,NA,Low,NA,NA
MOJD0005,Road/trail construction/maint.,NA,Low,NA,NA
MOJD0006,Burros,NA,Low,NA,NA
MOJD0006,Vandalism/dumping/litter,NA,Low,NA,NA
MOJD0007,Recreational use (non ORV),NA,Low,NA,NA
MOJD0007,Burros,NA,High,NA,NA
MOJD0008,ORV activity,NA,Low,NA,NA
MOJD0008,Burros,NA,Moderate,NA,NA
MOJD0008,Recreational use (non ORV),NA,Low,NA,NA
MOJD0008,Competition from exotics,NA,Low,NA,NA
MOJD0008,Vandalism/dumping/litter,NA,Low,NA,NA
MOJD0009,Burros,NA,Low,NA,NA
MOJD0010,Burros,NA,Moderate,NA,NA
MOJD0010,Grazing,NA,High,NA,NA
MOJD0010,Vandalism/dumping/litter,NA,Low,NA,NA
MOJD0010,Wood cutting,NA,Moderate,NA,NA
MOJD0011,Burros,NA,Low,NA,NA
MOJD0011,Competition from exotics,NA,Low,NA,NA
MOJD0012,Competition from exotics,NA,Low,NA,NA
MOJD0012,Burros,NA,Low,NA,NA
MOJD0013,Road/trail construction/maint.,NA,Low,NA,NA
MOJD0013,Burros,NA,Low,NA,NA
MOJD0014,ORV activity,NA,Low,NA,NA
MOJD0014,Competition from exotics,NA,Low,NA,NA
MOJD0014,Burros,NA,Low,NA,NA
MOJD0018,Competition from exotics,NA,Low,NA,NA
MOJD0018,Burros,NA,Low,NA,NA
MOJD0020,Competition from exotics,NA,Low,NA,NA
MOJD0021,Burros,NA,Low,NA,NA
MOJD0022,Vandalism/dumping/litter,NA,Low,NA,NA
MOJD0022,ORV activity,NA,Moderate,NA,NA
MOJD0023,Road/trail construction/maint.,NA,Moderate,NA,NA
MOJD0023,Vandalism/dumping/litter,NA,Moderate,NA,NA
MOJD0024,Mining,NA,Low,NA,NA
MOJD0024,Road/trail construction/maint.,NA,Low,NA,NA
MOJD0025,Road/trail construction/maint.,NA,Low,NA,NA
MOJD0026,Road/trail construction/maint.,NA,Low,NA,NA
MOJD0026,Competition from exotics,NA,Moderate,NA,NA
MOJD0100,Competition from exotics,NA,Low,NA,NA
MOJD0101,Mining,NA,Low,NA,NA
MOJD0101,Competition from exotics,NA,Low,NA,NA
MOJD0102,Road/trail construction/maint.,NA,Low,NA,NA
MOJD0102,Competition from exotics,NA,Low,NA,NA
MOJD0103,Vandalism/dumping/litter,NA,Low,NA,NA
MOJD0103,Competition from exotics,NA,Low,NA,NA
MOJD0104,Competition from exotics,NA,Low,NA,NA
MOJD0104,Vandalism/dumping/litter,NA,Low,NA,NA
MOJD0104,Road/trail construction/maint.,NA,Low,NA,NA
MOJD0105,Mining,NA,Moderate,NA,NA
MOJD0105,Competition from exotics,NA,Low,NA,NA
MOJD0106,Competition from exotics,NA,Low,NA,NA
MOJD0106,Vandalism/dumping/litter,NA,Low,NA,NA
MOJD0107,Mining,NA,Low,NA,NA
MOJD0107,Competition from exotics,NA,Low,NA,NA
MOJD0107,Vandalism/dumping/litter,NA,Moderate,NA,NA
MOJD0108,Competition from exotics,NA,Low,NA,NA
MOJD0108,Vandalism/dumping/litter,NA,Low,NA,NA
MOJD0109,Vandalism/dumping/litter,NA,Low,NA,NA
MOJD0109,Road/trail construction/maint.,NA,Low,NA,NA
MOJD0109,Competition from exotics,NA,Low,NA,NA
MOJD0110,Road/trail construction/maint.,NA,Low,NA,NA
MOJD0110,Competition from exotics,NA,Low,NA,NA
MOJD0111,Road/trail construction/maint.,NA,Low,NA,NA
MOJD0111,Competition from exotics,NA,Low,NA,NA
MOJD0113,Competition from exotics,NA,Low,NA,NA
MOJD0113,Road/trail construction/maint.,NA,Low,NA,NA
MOJD0114,Competition from exotics,NA,Low,NA,NA
MOJD0115,Vandalism/dumping/litter,NA,Low,NA,NA
MOJD0115,Road/trail construction/maint.,NA,Low,NA,NA
MOJD0115,Competition from exotics,NA,Low,NA,NA
MOJD0116,Vandalism/dumping/litter,NA,Low,NA,NA
MOJD0116,Road/trail construction/maint.,NA,Moderate,NA,NA
MOJD0116,Competition from exotics,NA,Low,NA,NA
MOJD0117,Vandalism/dumping/litter,NA,Low,NA,NA
MOJD0117,Road/trail construction/maint.,NA,Low,NA,NA
MOJD0117,Competition from exotics,NA,Low,NA,NA
MOLA0001,Competition from exotics,NA,Low,NA,NA
MOLA0002,Competition from exotics,NA,High,NA,NA
MOLA0002,Grazing,NA,Low,NA,NA
