AssociationCaCode,ScientificName,Provisional,ClassifLevel,DateAddedToMCV
32.044.01,Isocoma menziesii / Astragalus miguelensis – Atriplex californica – Lasthenia californica,,Association,
32.044.02,Isocoma menziesii / Distichlis spicata – Parapholis incurva,,Association,
32.044.03,Isocoma menziesii – Lupinus albifrons,,Association,
32.044.04,Isocoma menziesii,,Association,
32.044.05,Isocoma menziesii – Lotus dendroideus,,Association,13-Dec-16
32.044.06,Isocoma menziesii – Artemisia californica,,Association,13-Dec-16
32.044.07,"Isocoma menziesii / Dudleya (greenei, lanceolata, palmeri)",,Association,13-Dec-16
32.044.08,Isocoma menziesii  / (Astragalus miguelensis – Atriplex californica),,Association,14-Dec-16
32.046.01,Hecastocleis shockleyi,Provisional,Association,05-Jan-17
32.046.02,(Buddleja utahensis – Eriogonum heermannii) – Gutierrezia spp. limestone,,Association,01-Feb-17
32.046.03,Eriogonum heermannii,Provisional,Association,01-Feb-17
32.046.04,"Eriogonum wrightii (ssp. subscaposum, ssp. wrightii)",,Association,01-Feb-17
32.050.01,Encelia californica – Artemisia californica,,Association,
32.050.02,Encelia californica,,Association,
32.050.03,Encelia californica – Artemisia californica – Salvia mellifera – Baccharis pilularis,,Association,
32.050.04,Encelia californica – Eriogonum cinereum,,Association,
32.050.05,Encelia californica – Malosma laurina – Salvia mellifera,,Association,
32.050.06,Encelia californica – Rhus integrifolia,,Association,
32.051.01,Encelia californica – Eriogonum arborescens,Provisional,Association,14-Dec-16
32.055.01,Hazardia squarrosa / (Nassella pulchra – Deinandra fasciculata),,Association,
32.055.02,Hazardia squarrosa – Artemisia californica,,Association,
32.056.01,"Hazardia (squarrosa, stenolepis)",,Association,10-Oct-25
32.056.02,Eriophyllum confertiflorum,Provisional,Association,16-Oct-25
32.060.01,Baccharis pilularis / Eriophyllum staechadifolium,,Association,
32.060.02,Baccharis pilularis / Deschampsia cespitosa,,Association,
32.060.03,Baccharis pilularis / Leymus triticoides,,Association,
32.060.04,Baccharis pilularis / Polystichum munitum,,Association,
32.060.05,Baccharis pilularis – Artemisia californica,,Association,
32.060.06,Baccharis pilularis – Lupinus arboreus,,Association,
32.060.07,Baccharis pilularis / Ammophila arenaria,,Association,
32.060.08,Baccharis pilularis / Scrophularia californica,,Association,
32.060.10,Baccharis pilularis / Nassella pulchra,,Association,
