CaCode,ScientificName,ClassifLevel,2009/NVC_Code,ELCODE,Inactivated,ELCODE_Final
37.308.03,Arctostaphylos crustacea,Association,CEGL003010,CEGL003010,FALSE,CEGL003010
37.405.01,Quercus durata – Arctostaphylos glandulosa,Association,CEGL003351,CEGL003351,FALSE,CEGL003351
37.405.02,Quercus durata,Association,,CEGL003089,FALSE,CEGL003089
37.406.05,Quercus berberidifolia – Ceanothus cuneatus,Association,CEGL003561,CEGL003561,FALSE,CEGL003561
37.407.02,Quercus berberidifolia,Association,CEGL003716,CEGL003716,FALSE,CEGL003716
37.407.07,Quercus berberidifolia – Ceanothus spinosus,Association,CEGL003717,CEGL003717,FALSE,CEGL003717
37.409.03,Quercus berberidifolia – Adenostoma fasciculatum,Association,CEGL003522,CEGL003522,FALSE,CEGL003522
37.414.02,Quercus vacciniifolia – Chrysolepis sempervirens,Association,CEGL008696,CEGL008696,FALSE,CEGL008696
37.414.03,Quercus vacciniifolia – Arctostaphylos patula,Association,CEGL008697,CEGL008697,FALSE,CEGL008697
37.416.01,Quercus pacifica,Association,CEPP005729,CEPP005729,FALSE,CEPP005729
37.417.01,Chrysolepis chrysophylla / Vaccinium ovatum,Association,CEGL003200,CEGL003200,FALSE,CEGL003200
37.420.02,"Quercus (parvula, wislizeni) – Arctostaphylos glandulosa",Association,,CEGL003180,FALSE,CEGL003180
37.501.01,Adenostoma sparsifolium,Association,CEGL003003,CEGL003003,FALSE,CEGL003003
37.503.04,Adenostoma sparsifolium – Adenostoma fasciculatum – Ceanothus crassifolius,Association,CEGL003500,CEGL003500,FALSE,CEGL003500
37.600.01,Cercocarpus montanus – Eriogonum fasciculatum,Association,,CEGL003036,FALSE,CEGL003036
37.610.01,Cercocarpus montanus var. macrourus,Association,,CEGL002798,FALSE,CEGL002798
37.700.01,Chrysolepis sempervirens,Association,CEGL003039,CEGL003039,FALSE,CEGL003039
37.803.01,Rhus integrifolia,Association,CEGL003718,CEGL003718,FALSE,CEGL003718
37.803.03,Rhus integrifolia – Artemisia californica – Eriogonum cinereum,Association,CEGL003719,CEGL003719,FALSE,CEGL003719
37.803.04,Rhus integrifolia – Opuntia spp. – Eriogonum cinereum,Association,CEGL003720,CEGL003720,FALSE,CEGL003720
37.910.01,Prunus ilicifolia ssp. Ilicifolia / Sanicula crassicaulis,Association,CEGL003342,CEGL003342,FALSE,CEGL003342
37.910.02,Prunus ilicifolia ssp. ilicifolia – Heteromeles arbutifolia,Association,CEGL003715,CEGL003715,FALSE,CEGL003715
37.910.03,Prunus ilicifolia ssp. ilicifolia,Association,CEGL005311,CEGL005311,FALSE,CEGL005311
37.910.04,Prunus ilicifolia ssp. lyonii,Association,CEPP005726,CEPP005726,FALSE,CEPP005726
37.910.05,Prunus ilicifolia ssp. ilicifolia – Ceanothus cuneatus,Association,CEGL005309,CEGL005309,FALSE,CEGL005309
37.910.06,Prunus ilicifolia ssp. ilicifolia – Fraxinus dipetala,Association,CEGL005310,CEGL005310,FALSE,CEGL005310
37.911.03,Heteromeles arbutifolia – Malosma laurina,Association,CEGL003692,CEGL003692,FALSE,CEGL003692
37.920.01,Frangula californica ssp. californica – Baccharis pilularis / Scrophularia californica,Association,CEGL003316,CEGL003316,FALSE,CEGL003316
37.930.01,Morella californica,Association,CEGL003340,CEGL003340,TRUE,CEGL003340
37.940.01,Toxicodendron diversilobum – Baccharis pilularis – Rubus parviflorus,Association,,CEGL003473,TRUE,CEGL003473
37.940.02,Toxicodendron diversilobum – Artemisia californica / Leymus condensatus,Association,CEGL003736,CEGL003736,FALSE,CEGL003736
37.940.03,Toxicodendron diversilobum – Diplacus aurantiacus,Association,CEGL003745,CEGL003745,FALSE,CEGL003745
37.950.01,Corylus cornuta / Polystichum munitum,Association,CEGL003302,CEGL003302,FALSE,CEGL003302
38.120.03,Ericameria discoidea – Phacelia hastata,Association,CEGL003162,CEGL003162,FALSE,CEGL003162
39.100.05,Holodiscus discolor / Sedum obtusatum ssp. boreale – Cryptogramma acrostichoides,Association,CEGL003129,CEGL003129,FALSE,CEGL003129
39.100.06,Holodiscus discolor – Sambucus racemosa,Association,CEGL003130,CEGL003130,FALSE,CEGL003130
41.010.01,Sporobolus airoides,Association,CEGL001688,CEGL001688,FALSE,CEGL001688
41.030.01,Pleuraphis rigida,Association,CEPP006858,CEPP006858,FALSE,CEPP006858
41.030.06,Pleuraphis rigida / Ambrosia dumosa,Association,CEGL000955,CEGL000955,FALSE,CEGL000955
41.050.04,Danthonia californica – Aira caryophyllea,Association,,CEGL003474,TRUE,CEGL003474
41.061.01,Phragmites australis Western Ruderal,Association,CEGL001475,CEGL001475,FALSE,CEGL001475
41.080.01,Leymus triticoides,Association,CEGL001571,CEGL001571,FALSE,CEGL001571
41.080.02,Leymus triticoides – Bromus spp. – Avena spp.,Association,CEPP005717,CEPP005717,FALSE,CEPP005717
41.080.06,Leymus triticoides – Poa secunda,Association,CEGL001572,CEGL001572,FALSE,CEGL001572
41.090.01,Achnatherum speciosum Shrub,Association,CEGL003113,CEGL003113,FALSE,CEGL003113
41.120.02,Achnatherum hymenoides – Oenothera deltoides,Association,CEPP006710,CEPP006710,FALSE,CEPP006710
41.150.04,Nassella pulchra,Association,CEGL003111,CEGL003111,FALSE,CEGL003111
41.150.05,Nassella pulchra – Avena spp. – Bromus spp.,Association,CEPP005681,CEPP005681,FALSE,CEPP005681
41.150.07,Nassella pulchra / Hazardia squarrosa,Association,CEGL002884,CEGL002884,FALSE,CEGL002884
41.180.04,Danthonia unispicata – Poa secunda,Association,CEGL001783,CEGL001783,FALSE,CEGL001783
41.190.01,Calamagrostis nutkaensis / Baccharis pilularis,Association,CEGL003377,CEGL003377,TRUE,CEGL003377
41.190.02,Calamagrostis nutkaensis – Carex (obnupta) – Juncus (patens),Association,CEGL001564,CEGL003378,FALSE,CEGL001564
41.190.03,Calamagrostis nutkaensis,Association,CEGL001564,CEGL001564,FALSE,CEGL001564
41.200.02,Distichlis spicata – Juncus cooperi,Association,CEPP006701,CEPP006701,FALSE,CEPP006701
41.200.05,Distichlis spicata – Juncus arcticus var. balticus (J. arcticus var. mexicanus),Association,CEPP006700,CEPP006700,TRUE,CEPP006700
41.200.07,Distichlis spicata – Frankenia salina – Jaumea carnosa,Association,CEGL003462,CEGL003462,FALSE,CEGL003462
41.200.09,Distichlis spicata,Association,CEGL001770,CEGL001770,TRUE,CEGL001770
41.200.11,Distichlis spicata – Ambrosia chamissonis,Association,CEGL002882,CEGL002882,FALSE,CEGL002882
41.200.13,Distichlis spicata – annual grasses,Association,CEPP005679,CEPP005679,TRUE,CEPP005679
41.200.19,Distichlis spicata – Leymus triticoides,Association,,CEPP005716,FALSE,CEPP005716
41.200.20,Distichlis spicata – Sarcocornia pacifica,Association,,CEGL003356,FALSE,CEGL003356
41.211.01,Calamagrostis purpurascens – Linanthus pungens,Association,CEGL008658,CEGL008658,FALSE,CEGL008658
41.220.01,Deschampsia cespitosa – Carex nebrascensis,Association,CEGL001601,CEGL001601,FALSE,CEGL001601
41.220.08,Deschampsia cespitosa,Association,CEGL001599,CEGL001599,FALSE,CEGL001599
41.220.09,Deschampsia cespitosa – Danthonia californica,Association,CEGL001604,CEGL003325,FALSE,CEGL001604
41.220.12,Deschampsia cespitosa – Bistorta bistortoides,Association,CEGL003485,CEGL003485,FALSE,CEGL003485
41.220.13,Deschampsia cespitosa – Horkelia marinensis,Association,CEGL003461,CEGL003461,FALSE,CEGL003461
41.222.04,Glyceria striata,Association,CEGL005819,CEGL005819,FALSE,CEGL005819
41.224.01,Calamagrostis canadensis,Association,,CEGL004251,TRUE,CEGL004251
41.224.04,Calamagrostis canadensis – Scirpus microcarpus,Association,CEGL001559,CEGL001559,FALSE,CEGL001559
41.225.01,Ptilagrostis kingii,Association,CEGL003160,CEGL003160,FALSE,CEGL003160
41.255.01,Festuca rubra,Association,CEGL001567,CEGL001567,FALSE,CEGL001567
41.260.03,Leymus mollis – Abronia latifolia – (Cakile sp.),Association,CEGL001796,CEGL001796,FALSE,CEGL001796
41.265.01,Leymus condensatus,Association,CEGL002883,CEGL002883,FALSE,CEGL002883
41.278.01,Muhlenbergia rigens,Association,CEGL005306,CEGL005306,FALSE,CEGL005306
41.640.01,Elymus glaucus,Association,CEGL001565,,FALSE,CEGL001565
41.640.02,Elymus glaucus – Carex pellita,Association,CEGL008704,CEGL008704,FALSE,CEGL008704
41.640.03,Elymus glaucus – Carex feta,Association,CEGL008703,CEGL008703,FALSE,CEGL008703
42.010.02,Ammophila arenaria,Semi-natural Association,CEGL003006,CEGL003006,FALSE,CEGL003006
42.010.03,Ammophila arenaria – Cardionema ramosissimum,Semi-natural Association,,CEGL003373,TRUE,CEGL003373
42.011.01,Brassica nigra,Semi-natural Association,CEGL002879,CEGL002879,FALSE,CEGL002879
42.011.02,Brassica nigra – Bromus diandrus,Semi-natural Association,CEGL002880,CEGL002880,FALSE,CEGL002880
42.011.04,Raphanus sativus,Semi-natural Association,CEGL003465,CEGL003465,FALSE,CEGL003465
42.020.01,Bromus tectorum,Semi-natural Association,CEGL003019,CEGL003019,FALSE,CEGL003019
42.024.01,"Bromus (madritensis, rubens) – Erodium cicutarium",Semi-natural Association,CEPP005876,CEPP005876,FALSE,CEPP005876
42.026.09,Bromus hordeaceus – Erodium botrys,Semi-natural Association,CEPP005712,CEPP005712,FALSE,CEPP005712
61.512.06,Prosopis glandulosa / Pluchea sericea,Association,CEPP006737,CEPP006737,FALSE,CEPP006737
61.512.09,Prosopis glandulosa – (Salix exigua – Salix lasiolepis),Association,CEPP006860,CEPP006860,FALSE,CEPP006860
61.513.02,Prosopis pubescens / Pluchea sericea Alkaline Spring,Association,CEPP006739,CEPP006739,FALSE,CEPP006739
61.545.01,Olneya tesota,Association,,,FALSE,
61.545.10,Parkinsonia florida – Olneya tesota,Association,,CEGL003035,FALSE,CEGL003035
61.550.01,Chilopsis linearis,Association,,CEGL001164,FALSE,CEGL001164
61.550.02,Chilopsis linearis / Ambrosia salsola,Association,,CEGL005744,FALSE,CEGL005744
61.550.04,Chilopsis linearis / Prunus fasciculata,Association,,CEGL005745,FALSE,CEGL005745
61.550.05,Chilopsis linearis / (Ambrosia eriocentra – Salvia dorrii),Association,CEGL005742,CEGL005742,FALSE,CEGL005742
61.550.07,Chilopsis linearis / Ericameria paniculata,Association,CEGL005743,CEGL005743,FALSE,CEGL005743
61.570.01,Psorothamnus spinosus,Association,CEGL002701,CEGL002701,FALSE,CEGL002701
61.570.02,Psorothamnus spinosus / Ambrosia salsola – (Bebbia juncea –  Ephedra californica),Association,CEPP006745,CEPP006745,FALSE,CEPP006745
61.570.04,Psorothamnus spinosus /Senegalia greggii – (Hyptis emoryi),Association,CEPP006744,CEPP006744,FALSE,CEPP006744
61.580.01,Forestiera pubescens,Association,,CEGL001168,FALSE,CEGL001168
63.160.03,Salix orestera / Allium validum,Association,CEGL008701,CEGL008701,FALSE,CEGL008701
63.210.01,Alnus incana,Association,,CEGL001141,FALSE,CEGL001141
63.410.02,Sambucus nigra / Leymus condensatus,Association,,CEGL003107,FALSE,CEGL003107
63.425.01,Rhododendron columbianum,Association,,CEGL002739,TRUE,CEGL002739
63.510.01,Baccharis salicifolia,Association,CEGL003549,CEGL003549,FALSE,CEGL003549
63.530.02,Baccharis sergiloides – Prunus fasciculata – Rhus trilobata,Association,CEPP005842,CEPP005842,FALSE,CEPP005842
63.530.03,Baccharis sergiloides / (Muhlenbergia rigens – Typha domingensis),Association,CEPP005846,CEPP005846,FALSE,CEPP005846
63.710.01,Pluchea sericea Seasonally Flooded,Association,CEGL003080,CEGL003080,FALSE,CEGL003080
42.026.21,Bromus diandrus,Semi-natural Association,CEGL002906,CEGL002906,FALSE,CEGL002906
42.026.22,Bromus diandrus – Avena spp.,Semi-natural Association,CEGL002916,CEGL002916,FALSE,CEGL002916
42.040.03,Brachypodium distachyon,Semi-natural Association,CEGL003374,CEGL003374,FALSE,CEGL003374
42.042.01,Centaurea melitensis,Semi-natural Association,CEGL002881,CEGL002881,FALSE,CEGL002881
42.050.08,Holcus lanatus,Semi-natural Association,CEGL008193,CEGL008193,FALSE,CEGL008193
42.052.01,Hordeum brachyantherum,Association,CEGL003430,CEGL003430,TRUE,CEGL003430
42.060.05,Poa pratensis,Semi-natural Association,CEGL003159,CEGL003081,FALSE,CEGL003159
42.062.01,Selaginella bigelovii / Eriogonum fasciculatum,Association,CEGL002886,CEGL002886,FALSE,CEGL002886
42.095.01,Panicum urvilleanum,Association,CEPP006730,CEPP006730,FALSE,CEPP006730
43.100.01,Coreopsis gigantea – Artemisia californica – Eriogonum cinereum,Association,CEGL003635,CEGL003635,FALSE,CEGL003635
43.100.02,Coreopsis gigantea – Ericameria ericoides – Encelia californica,Association,CEGL003637,CEGL003637,FALSE,CEGL003637
44.111.03,Mimulus guttatus – (Mimulus spp.),Association,CEGL005305,CEGL005305,FALSE,CEGL005305
44.111.04,Mimulus lewisii,Association,,,FALSE,
61.420.10,Alnus rhombifolia,Association,CEGL000629,CEGL000629,FALSE,CEGL000629
61.420.11,Alnus rhombifolia – Platanus racemosa,Association,CEGL002851,CEGL002851,FALSE,CEGL002851
61.450.01,Acer macrophyllum / (Rubus ursinus),Association,,CEGL003395,FALSE,CEGL003395
61.450.06,Acer macrophyllum – Pseudotsuga menziesii / Polystichum munitum,Association,CEGL000518,CEGL000518,FALSE,CEGL000518
61.512.01,Prosopis glandulosa var. torreyana,Association,CEGL001381,CEGL001381,FALSE,CEGL001381
63.901.04,Rubus spectabilis,Association,CEGL003472,CEGL003472,FALSE,CEGL003472
63.907.02,Rosa californica,Association,CEGL005315,CEGL005315,FALSE,CEGL005315
71.010.06,Quercus kelloggii / Arctostaphylos patula,Association,,CEGL008617,FALSE,CEGL008617
71.010.20,Quercus kelloggii / Arctostaphylos mewukka / Chamaebatia foliolosa,Association,CEGL008619,CEGL008619,FALSE,CEGL008619
71.010.21,Quercus kelloggii – Calocedrus decurrens,Association,CEGL008618,CEGL008618,FALSE,CEGL008618
71.010.27,Quercus kelloggii – Pinus ponderosa / Arctostaphylos viscida,Association,CEGL008694,,FALSE,CEGL008694
71.020.02,Quercus douglasii – Pinus sabiniana / grass,Association,,CEGL008647,FALSE,CEGL008647
71.020.05,Quercus douglasii / Mixed herbaceous,Association,,CEGL005314,FALSE,CEGL005314
71.020.12,Quercus douglasii / Ceanothus cuneatus,Association,,CEGL008646,FALSE,CEGL008646
71.020.16,Quercus douglasii / Bromus spp. – (Daucus pusillus),Association,CEGL008645,CEGL008645,FALSE,CEGL008645
71.020.17,Quercus douglasii – Quercus wislizeni / Bromus spp. – Daucus pusillus,Association,CEGL008648,CEGL008648,TRUE,CEGL008648
71.020.25,Quercus douglasii – Pinus sabiniana / Cercocarpus montanus,Association,CEGL005313,CEGL005313,TRUE,CEGL005313
87.015.02,Pinus ponderosa – Calocedrus decurrens – Quercus kelloggii,Association,CEGL008673,CEGL008673,FALSE,CEGL008673
87.015.03,Pinus ponderosa – Calocedrus decurrens / Chamaebatia foliolosa,Association,,CEGL008672,FALSE,CEGL008672
87.015.04,Pinus ponderosa – Calocedrus decurrens (mixed conifer) – Quercus chrysolepis / Chamaebatia foliolosa,Association,CEGL008674,CEGL008674,FALSE,CEGL008674
44.150.02,Avena barbata – Avena fatua,Semi-natural Association,CEGL002878,CEGL002878,FALSE,CEGL002878
44.150.04,Avena fatuua,Semi-natural Association,,CEGL002878,TRUE,CEGL002878
44.160.01,Centromadia pungens ssp. laevis,Association,,,FALSE,
45.120.01,Carex scopulorum,Association,CEGL001822,CEGL001822,FALSE,CEGL001822
45.120.02,Carex scopulorum – Pedicularis groenlandica,Association,CEGL008664,CEGL008664,FALSE,CEGL008664
45.120.04,Carex scopulorum – Eleocharis quinqueflora,Association,,CEGL001837,FALSE,CEGL001837
45.120.08,Carex scopulorum – Mimulus primuloides,Association,,CEGL001975,FALSE,CEGL001975
45.130.01,Carex nebrascensis,Association,CEGL001813,CEGL001813,FALSE,CEGL001813
45.140.01,Carex filifolia – Trisetum spicatum,Association,CEGL008663,CEGL008663,FALSE,CEGL008663
45.140.06,Carex filifolia,Association,CEGL003022,CEGL003022,FALSE,CEGL003022
45.140.08,Carex filifolia – Penstemon heterodoxus,Association,CEGL008662,CEGL008662,FALSE,CEGL008662
45.140.10,Carex filifolia – Cistanthe monosperma,Association,,CEGL008660,FALSE,CEGL008660
45.141.01,Calamagrostis muiriana – Juncus drummondii,Association,CEGL008656,CEGL008656,FALSE,CEGL008656
45.141.02,Calamagrostis muiriana – Oreostemma alpigenum,Association,CEGL008654,CEGL008654,FALSE,CEGL008654
45.141.04,Calamagrostis muiriana – Trisetum spicatum,Association,CEGL008657,CEGL008657,FALSE,CEGL008657
45.145.03,Carex helleri – Saxifraga tolmiei – Luzula divaricata,Association,CEGL003139,CEGL003139,FALSE,CEGL003139
45.145.05,Carex helleri – Eriogonum incanum – Raillardella argentea,Association,CEGL003138,CEGL003138,FALSE,CEGL003138
45.150.01,Carex breweri,Association,CEGL001805,CEGL001805,FALSE,CEGL001805
45.155.01,Carex spectabilis – Sibbaldia procumbens,Association,CEGL003140,CEGL003140,FALSE,CEGL003140
45.155.02,Carex spectabilis – Senecio triangularis,Association,CEGL003127,CEGL003127,FALSE,CEGL003127
45.166.01,Carex lasiocarpa,Association,,CEGL001810,FALSE,CEGL001810
45.168.01,Carex aquatilis,Association,,CEGL001802,FALSE,CEGL001802
45.170.01,Carex vesicaria,Association,CEGL002661,CEGL002661,TRUE,CEGL002661
45.183.01,Carex obnupta,Association,CEGL003313,CEGL003313,FALSE,CEGL003313
45.183.03,Carex obnupta – Juncus patens,Association,CEGL003379,CEGL003379,FALSE,CEGL003379
45.220.01,Eleocharis quinqueflora,Association,CEGL001836,CEGL001836,FALSE,CEGL001836
45.230.01,Eleocharis macrostachya,Association,CEGL005303,CEGL005303,TRUE,CEGL005303
45.400.02,Vaccinium cespitosum – Carex nigricans,Association,,CEGL008655,FALSE,CEGL008655
45.402.01,Phyllodoce breweri – Juncus parryi,Association,CEGL003142,CEGL003142,FALSE,CEGL003142
45.415.02,Penstemon newberryi – Streptanthus tortuosus / Spiraea splendens,Association,CEGL003487,CEGL003487,FALSE,CEGL003487
45.419.01,Senecio triangularis – Lupinus latifolius,Association,CEGL003491,CEGL003491,FALSE,CEGL003491
45.423.01,Veratrum californicum – Senecio triangularis,Association,CEGL001989,CEGL001989,FALSE,CEGL001989
45.450.01,Malacothamnus fasciculatus,Association,CEGL003694,CEGL003694,FALSE,CEGL003694
45.455.01,Malosma laurina,Association,CEGL003696,CEGL003696,FALSE,CEGL003696
45.455.03,Malosma laurina – Eriogonum cinereum,Association,CEGL003698,CEGL003698,FALSE,CEGL003698
45.455.04,Malosma laurina – Eriogonum fasciculatum,Association,,CEGL003702,TRUE,CEGL003702
45.455.09,Malosma laurina – Salvia mellifera,Association,,CEGL003703,TRUE,CEGL003703
45.561.01,Juncus effusus,Association,,CEGL003317,FALSE,CEGL003317
45.563.01,Juncus cooperi,Association,CEPP006712,CEPP006712,FALSE,CEPP006712
45.566.01,Juncus parryi – Eriogonum incanum,Association,CEGL003141,CEGL003141,FALSE,CEGL003141
45.567.01,Juncus nevadensis,Association,,,FALSE,
51.200.01,Darlingtonia californica,Association,,CEGL003046,FALSE,CEGL003046
52.010.01,Sparganium angustifolium,Association,CEGL001990,CEGL001990,FALSE,CEGL001990
52.020.02,Spartina foliosa,Association,CEGL003471,CEGL003471,FALSE,CEGL003471
52.030.01,Spartina gracilis,Association,CEGL001588,CEGL001588,FALSE,CEGL001588
52.050.03,Typha domingensis,Association,CEGL001845,CEGL001845,FALSE,CEGL001845
52.050.04,"Typha (latifolia, angustifolia)",Association,CEGL002010,CEGL002010,FALSE,CEGL002010
52.103.02,Typha latifolia,Association,,CEGL004150,TRUE,CEGL004150
52.111.04,Schoenoplectus americanus,Association,CEGL001841,CEGL001841,FALSE,CEGL001841
52.112.03,Bolboschoenus maritimus,Association,,CEGL003287,FALSE,CEGL003287
52.113.01,Scirpus microcarpus,Association,CEGL003322,CEGL003322,TRUE,CEGL003322
52.114.05,Schoenoplectus californicus – Typha latifolia,Association,,CEGL003469,TRUE,CEGL003469
52.115.01,Dulichium arundinaceum,Association,,CEGL001831,FALSE,CEGL001831
52.119.01,Oenanthe sarmentosa,Association,CEGL003319,CEGL003319,FALSE,CEGL003319
52.120.01,Carex utriculata,Association,CEGL001562,CEGL001562,TRUE,CEGL001562
52.122.01,Schoenoplectus acutus,Association,,CEGL001840,FALSE,CEGL001840
52.215.03,Sarcocornia pacifica – Jaumea carnosa – Distichlis spicata,Association,CEGL003466,CEGL003466,FALSE,CEGL003466
52.215.14,Sarcocornia pacifica / algae,Association,CEGL002920,CEGL002920,FALSE,CEGL002920
52.215.15,Sarcocornia pacifica – Brassica nigra,Association,CEGL002923,CEGL002923,FALSE,CEGL002923
52.215.21,Sarcocornia pacifica – Frankenia salina – Suaeda taxifolia,Association,CEGL002885,CEGL002885,FALSE,CEGL002885
52.240.01,Lotus scoparius,Association,CEGL005304,CEGL005304,FALSE,CEGL005304
52.500.01,Frankenia salina – Limonium californicum – Monanthochloe littoralis – Sarcocornia pacifica,Association,CECA000003,,FALSE,CECA000003
52.500.02,Frankenia salina,Association,CECA000001,,TRUE,CECA000001
52.500.03,Frankenia salina / Agrostis avenacea,Association,CECA000004,,FALSE,CECA000004
52.500.04,Frankenia salina – Distichlis spicata,Association,CEPP005680,CEPP005680,TRUE,CEPP005680
52.500.05,Lasthenia ferrisiae – Lasthenia conjugens,Association,CECA000005,,FALSE,CECA000005
52.500.06,Suaeda taxifolia – Hordeum murinum,Association,CEPP005735,CEPP005735,FALSE,CEPP005735
61.111.03,Populus tremuloides / Veratrum californicum,Association,CEGL000621,CEGL000621,FALSE,CEGL000621
61.111.06,Populus tremuloides / Artemisia tridentata,Association,CEGL000572,CEGL000572,FALSE,CEGL000572
61.111.07,Populus tremuloides / Artemisia tridentata / Monardella odoratissima – Kelloggia galioides,Association,CEGL003146,CEGL003146,FALSE,CEGL003146
61.111.08,Populus tremuloides / Monardella odoratissima,Association,CEGL003145,CEGL003145,FALSE,CEGL003145
61.111.09,Populus tremuloides / Pinus jeffreyi,Association,CEGL003147,CEGL003147,FALSE,CEGL003147
61.111.10,Populus tremuloides / Rosa woodsii,Association,CEGL003149,CEGL003149,FALSE,CEGL003149
61.111.11,Populus tremuloides – Pinus contorta / Artemisia tridentata / Poa pratensis,Association,CEGL008669,CEGL008669,FALSE,CEGL008669
61.111.15,Populus tremuloides / Symphoricarpos albus,Association,CEGL000609,CEGL000609,FALSE,CEGL000609
61.111.17,Populus tremuloides / mesic forb,Association,,CEGL000621,FALSE,CEGL000621
61.111.19,Populus tremuloides / Bromus carinatus,Association,,CEGL000573,FALSE,CEGL000573
61.111.20,Populus tremuloides / Poa pratensis,Association,,CEGL003748,FALSE,CEGL003748
61.112.01,Salix eastwoodiae,Association,CEGL001194,CEGL001194,FALSE,CEGL001194
61.113.01,Salix lemmonii,Association,CEGL008698,CEGL008698,FALSE,CEGL008698
61.113.02,Salix lemmonii / Carex spp.,Association,CEGL008698,CEGL008698,FALSE,CEGL008698
61.113.03,Salix lemmonii / mesic graminoid,Association,CEGL002069,CEGL002069,FALSE,CEGL002069
61.113.04,Salix lemmonii / mesic forb,Association,CEGL002771,CEGL002771,FALSE,CEGL002771
61.115.01,Salix orestera / Calamagrostis muiriana,Association,CEGL008702,CEGL008702,FALSE,CEGL008702
61.115.02,Salix orestera / Senecio triangularis,Association,CEGL008700,CEGL008700,FALSE,CEGL008700
61.116.02,Salix petrophila – Calamagrostis muiriana – Vaccinium cespitosum – Antennaria media,Association,CEGL003143,CEGL003143,FALSE,CEGL003143
61.119.01,Salix planifolia,Association,,CEGL001224,FALSE,CEGL001224
61.120.03,Populus trichocarpa – Pinus jeffreyi,Association,CEGL008620,CEGL008620,FALSE,CEGL008620
61.120.06,Populus spp. / Salix spp.,Association,,CEGL000676,FALSE,CEGL000676
61.120.07,Populus trichocarpa / Rhododendron occidentale,Association,CEGL008621,CEGL008621,FALSE,CEGL008621
61.130.06,Populus fremontii,Association,CEGL000661,CEGL000661,FALSE,CEGL000661
61.130.07,Populus fremontii / Acer negundo,Association,CEGL000662,CEGL000662,FALSE,CEGL000662
61.130.14,Populus fremontii – Salix gooddingii / Baccharis salicifolia,Association,CEGL002683,CEGL002683,FALSE,CEGL002683
61.130.15,Populus fremontii – Salix laevigata,Association,CEGL005308,CEGL005308,FALSE,CEGL005308
61.130.16,Populus fremontii / Baccharis salicifolia,Association,CEGL000941,CEGL000941,FALSE,CEGL000941
61.130.17,Populus fremontii / Salix exigua,Association,,CEGL002684,FALSE,CEGL002684
61.201.01,Salix lasiolepis,Association,CEPP005674,CEPP005674,FALSE,CEPP005674
61.201.03,Salix lasiolepis – Rubus spp.,Association,CEGL003170,CEGL003170,FALSE,CEGL003170
61.201.04,Salix lasiolepis – Salix lucida,Association,CEGL003171,CEGL003171,FALSE,CEGL003171
61.201.06,Salix lasiolepis – Baccharis salicifolia,Association,CEGL002875,CEGL002875,FALSE,CEGL002875
61.203.01,Salix hookeriana,Association,,CEGL003432,FALSE,CEGL003432
61.204.03,Salix lucida ssp. lasiandra,Association,CEGL003118,CEGL003118,FALSE,CEGL003118
61.205.01,Salix laevigata,Association,CEGL002952,CEGL002952,FALSE,CEGL002952
61.205.02,Salix laevigata / Salix lasiolepis,Association,CEGL002874,CEGL002874,FALSE,CEGL002874
61.205.07,Salix laevigata – Salix lasiolepis / Baccharis salicifolia,Association,,CEGL002874,TRUE,CEGL002874
61.209.01,Salix exigua,Association,CEGL005655,CEGL005655,FALSE,CEGL005655
61.209.04,Salix exigua / Baccharis sergiloides,Association,CEPP006753,CEPP006753,FALSE,CEPP006753
61.209.05,Salix exigua / Mesic graminoids,Association,CEGL001203,CEGL001203,FALSE,CEGL001203
61.210.01,Salix lutea / Mesic forb,Association,CEGL002774,CEGL002774,FALSE,CEGL002774
61.210.02,Salix lutea / Mesic graminoid,Association,CEGL002073,CEGL002073,FALSE,CEGL002073
61.210.04,Salix lutea / Rosa woodsii,Association,CEGL002624,CEGL002624,FALSE,CEGL002624
61.211.01,Salix gooddingii,Association,CEGL002743,CEGL002743,FALSE,CEGL002743
61.211.04,Populus fremontii – Salix gooddingii,Association,CEGL000944,CEGL000944,FALSE,CEGL000944
61.212.02,Salix geyeriana / mesic graminoid,Association,CEGL001210,CEGL001210,FALSE,CEGL001210
61.311.03,Platanus racemosa / annual grass,Association,CEGL002857,CEGL002857,FALSE,CEGL002857
61.312.01,Platanus racemosa – Quercus agrifolia,Association,CEGL002858,CEGL002858,FALSE,CEGL002858
61.312.03,Platanus racemosa – Quercus agrifolia – Salix lasiolepis,Association,,CEGL002859,TRUE,CEGL002859
61.312.04,Platanus racemosa – Quercus agrifolia / Baccharis salicifolia / Artemisia douglasiana,Association,,CEGL002897,TRUE,CEGL002897
61.314.01,Platanus racemosa – Populus fremontii,Association,,,TRUE,
61.410.05,Alnus rubra / Salix lasiolepis – Rubus spp.,Association,CEGL003163,CEGL003163,FALSE,CEGL003163
61.410.06,Alnus rubra / Rubus spectabilis – Sambucus racemosa,Association,CEGL003463,CEGL003463,FALSE,CEGL003463
61.410.07,Alnus rubra / Rubus spectabilis,Association,,CEGL000639,TRUE,CEGL000639
71.040.05,Quercus lobata / grass,Association,CEGL002871,CEGL002871,FALSE,CEGL002871
71.040.06,Quercus lobata – Quercus agrifolia / grass,Association,CEGL002872,CEGL002872,FALSE,CEGL002872
71.040.20,Quercus lobata – Salix lasiolepis,Association,CEGL002873,CEGL002873,FALSE,CEGL002873
